dispositivo,idEvidencia,tipo_alarma,falso_positivo,resultado,url_video
00D201207B,486870,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/486870/1
00D201207B,486866,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/486866/1
00D201207B,486862,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/486862/1
00D201207B,486857,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/486857/1
00D201207B,486846,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/486846/1
00D201207B,486838,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/486838/1
00D201207B,486834,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/486834/1
00D201207B,484490,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484490/1
00D201207B,486839,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/486839/1
00D201207B,484480,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484480/1
00D201207B,486840,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/486840/1
00D201207B,484476,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484476/1
00D201207B,486842,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/486842/1
00D201207B,484473,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484473/1
00D201207B,484478,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484478/1
00D201207B,484492,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484492/1
00D201207B,484466,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484466/1
00D201207B,484472,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484472/1
00D201207B,484464,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484464/1
00D201207B,484450,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484450/1
00D201207B,484440,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484440/1
00D201207B,484460,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484460/1
00D201207B,484409,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484409/1
00D201207B,484394,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484394/1
00D201207B,484407,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484407/1
00D201207B,484420,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484420/1
00D201207B,484392,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484392/1
00D201207B,484391,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484391/1
00D201207B,484229,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484229/1
00D201207B,484234,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/484234/1
00D201207B,479075,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/479075/1
00D201207B,479077,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/479077/1
00D201207B,478904,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/478904/1
00D201207B,478903,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/478903/1
00D201207B,479162,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/479162/1
00D201207B,478757,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/478757/1
00D201207B,478922,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/478922/1
00D201207B,478758,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/478758/1
00D201207B,478721,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/478721/1
00D201207B,479131,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/479131/1
00D201207B,478704,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/478704/1
00D201207B,478651,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/478651/1
00D201207B,478649,Acceleration alarm,0,ALERTA REAL,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/478649/1
00D201207B,478643,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/478643/1
00D201207B,478699,Acceleration alarm,1,FALSO POSITIVO,https://strapi_cemex.gpstechserver.com/dispositivo/evidencias/vid/00D201207B/478699/1
